Date,Open,High,Low,Close
1/3/21,"6,899.00","7,093.90","6,716.00","7,077.00"
1/2/21,"6,657.00","7,067.00","6,657.00","6,801.50"
1/1/21,"6,654.00","6,884.36","6,603.00","6,646.50"
1/12/20,"6,525.00","6,710.12","6,471.04","6,654.00"
1/11/20,"5,799.00","6,507.00","5,799.00","6,442.00"
1/10/20,"5,991.00","6,232.00","5,758.00","5,792.00"
1/9/20,"6,176.00","6,281.00","5,775.00","5,990.00"
1/8/20,"5,827.00","6,164.00","5,786.00","6,141.50"
1/7/20,"5,629.00","5,922.00","5,569.81","5,775.00"
1/6/20,"5,522.00","5,799.00","5,369.50","5,601.50"
1/5/20,"5,204.00","5,531.00","5,007.00","5,453.50"
1/4/20,"4,600.00","5,353.00","4,503.00","5,243.50"
1/3/20,"5,560.00","5,744.03","3,969.82","4,829.00"
1/2/20,"5,969.00","6,258.10","5,335.97","5,403.50"
1/1/20,"5,979.00","6,189.00","5,960.00","5,984.00"
1/12/19,"5,884.00","6,053.16","5,754.64","5,979.00"
1/11/19,"5,737.00","5,900.00","5,707.00","5,889.50"
1/10/19,"5,618.00","5,722.54","5,390.00","5,688.00"
1/9/19,"5,467.00","5,664.00","5,443.00","5,607.50"
1/8/19,"5,609.00","5,632.00","5,289.00","5,470.00"
1/7/19,"5,568.00","5,673.00","5,568.00","5,642.00"
1/6/19,"5,231.00","5,571.00","5,199.00","5,525.00"
1/5/19,"5,596.00","5,596.00","5,223.00","5,250.00"
1/4/19,"5,437.00","5,576.00","5,399.00","5,551.00"
1/3/19,"5,321.00","5,414.00","5,195.00","5,363.50"
1/2/19,"5,138.00","5,337.00","5,110.00","5,298.00"
1/1/19,"4,809.00","5,125.00","4,711.00","5,126.50"
1/12/18,"5,313.00","5,315.00","4,645.50","4,809.00"
1/11/18,"5,159.00","5,313.00","5,022.00","5,186.00"
1/10/18,"5,571.00","5,583.00","5,009.00","5,166.50"
1/9/18,"5,519.00","5,581.00","5,418.00","5,557.50"
1/8/18,"5,451.00","5,549.00","5,396.00","5,505.00"
1/7/18,"5,250.00","5,492.00","5,242.00","5,449.50"
1/6/18,"5,301.00","5,412.00","5,233.00","5,311.50"
1/5/18,"5,216.00","5,390.00","5,144.00","5,281.00"
1/4/18,"5,100.00","5,267.00","5,002.00","5,250.00"
1/3/18,"5,236.00","5,346.00","5,049.00","5,100.00"
1/2/18,"5,466.00","5,468.00","4,995.50","5,283.00"
1/1/18,"5,281.00","5,530.00","5,247.00","5,457.00"
1/12/17,"5,180.00","5,293.00","5,146.00","5,281.00"
1/11/17,"5,150.00","5,206.00","5,069.51","5,199.00"
1/10/17,"5,005.00","5,137.00","5,003.00","5,132.50"
1/9/17,"4,902.00","4,993.00","4,863.35","4,998.00"
1/8/17,"4,912.00","4,936.00","4,803.00","4,892.00"
1/7/17,"4,832.00","4,924.10","4,815.80","4,896.00"
1/6/17,"4,844.00","4,903.88","4,827.00","4,822.50"
1/5/17,"4,783.00","4,928.00","4,728.12","4,831.00"
1/4/17,"4,716.00","4,796.00","4,657.60","4,770.00"
1/3/17,"4,706.00","4,761.03","4,640.00","4,726.00"
1/2/17,"4,547.00","4,700.55","4,522.00","4,681.50"
1/1/17,"4,503.50","4,605.00","4,503.50","4,521.00"
1/12/16,"4,367.00","4,540.00","4,327.43","4,503.50"
1/11/16,"4,256.00","4,392.00","4,132.17","4,379.50"
1/10/16,"4,290.00","4,322.04","4,215.20","4,263.50"
1/9/16,"4,300.00","4,342.00","4,182.24","4,292.50"
1/8/16,"4,262.00","4,319.00","4,191.00","4,278.50"
1/7/16,"4,099.00","4,283.22","4,029.40","4,257.50"
1/6/16,"4,133.00","4,187.00","3,843.00","4,064.00"
1/5/16,"4,045.00","4,168.35","3,997.60","4,150.00"
1/4/16,"4,021.00","4,176.00","3,962.37","4,065.00"
1/3/16,"3,887.00","4,079.00","3,865.77","4,053.50"
1/2/16,"3,900.00","3,904.00","3,586.28","3,875.50"
1/1/16,"4,165.00","4,165.00","3,655.00","3,848.00"
1/12/15,"4,254.00","4,283.50","4,026.00","4,165.00"
1/11/15,"4,215.00","4,275.00","4,105.00","4,246.50"
1/10/15,"3,950.00","4,251.00","3,893.00","4,216.00"
1/9/15,"4,023.00","4,082.35","3,819.00","3,900.00"
1/8/15,"4,359.00","4,393.00","3,801.00","4,055.10"
1/7/15,"4,280.00","4,423.00","4,186.00","4,361.00"
1/6/15,"4,390.00","4,404.45","4,240.00","4,248.50"
1/5/15,"4,342.00","4,463.00","4,253.00","4,366.50"
1/4/15,"4,269.00","4,424.00","4,241.95","4,336.50"
1/3/15,"4,250.00","4,362.00","4,203.40","4,292.50"
1/2/15,"4,076.00","4,312.00","4,052.00","4,296.50"
1/1/15,"4,100.00","4,141.90","3,927.00","4,064.50"
1/12/14,"4,073.00","4,148.00","3,886.00","4,117.00"
1/11/14,"4,009.00","4,200.00","3,962.00","4,125.00"
1/10/14,"3,953.00","4,012.00","3,620.00","3,996.00"
1/9/14,"3,999.00","4,105.00","3,877.00","3,968.00"
1/8/14,"3,837.00","4,010.00","3,790.00","3,987.50"
1/7/14,"3,937.00","3,978.72","3,879.80","3,904.50"
1/6/14,"3,884.00","3,950.00","3,865.00","3,925.00"
1/5/14,"3,798.00","3,876.00","3,763.25","3,866.50"
1/4/14,"3,776.00","3,813.80","3,651.88","3,775.00"
1/3/14,"3,714.00","3,790.76","3,662.00","3,751.50"
1/2/14,"3,553.00","3,755.75","3,515.80","3,756.00"
1/1/14,"3,706.00","3,756.00","3,559.29","3,600.00"
