,iShares_World_Value,Vanguard_Global_Bond_Value,Cash_total,Total_Value,iShares_World_prop,Vanguard_Global_Bond_prop,Cash_prop
0,7409.474478743082,6441.30996523047,1461.8632253692456,15312.647669342798,0.45,0.45,0.1
1,10443.703741359204,4537.741736932558,1544.8619539378658,16526.307432229627,0.6,0.3,0.1
2,12640.091526222126,3137.538638508013,1602.3106846752657,17379.940849405404,0.7,0.2,0.1
3,14982.175579511713,1626.627509581333,1661.4663016318318,18270.269390724876,0.8,0.1,0.1
