,FTSE100_Price,SNP500_Price_GBP,EURO50_Price_GBP,Nikkei_Price_GBP
2005-01-01,1.0,1.0,1.0,1.0
2005-02-01,1.0239452961579123,0.998154575467705,1.019964362192667,1.0015078959112749
2005-03-01,1.0086680364609844,0.9958313983620776,1.0149572979661179,0.9883931535477452
2005-04-01,0.9895657944360521,0.9663508697924961,0.9570538756733018,0.9449433491519391
2005-05-01,1.0230117201910018,1.0451049571452689,1.0089603293517597,0.9801015639929619
2005-06-01,1.0537579008760776,1.060312898602086,1.0405679228477434,1.0002663196893995
2005-07-01,1.0886155253889385,1.1199424554295014,1.1119844051514833,1.0322099544117191
2005-08-01,1.0916285233218816,1.0785371473828747,1.081848180832907,1.0667921469333486
2005-09-01,1.128887066160241,1.1105367494682912,1.132300724094099,1.1625829146445092
2005-10-01,1.0958244629877314,1.0869864235561606,1.088635540782185,1.1322119070607015
2005-11-01,1.1176470588235294,1.15175371765569,1.1375957288096565,1.2303879674919813
2005-12-01,1.1579556953286165,1.1560207298193457,1.1923771153051437,1.3604019040396025
2006-01-01,1.1871170638314534,1.1473079787134828,1.2214500031667943,1.3688919035569223
2006-02-01,1.1935634780135647,1.1641793657375459,1.2421840268077107,1.3683389883939847
2006-03-01,1.229222782550991,1.1875238473748877,1.3012899205394262,1.4300835440090824
2006-04-01,1.2412933221496565,1.1439302960781021,1.2862034791758907,1.3947560815002136
2006-05-01,1.1796051777400867,1.0826631995807865,1.2063206337759371,1.259737221401804
2006-06-01,1.2021944187407647,1.0959107102631833,1.223116786682814,1.257236922635056
2006-07-01,1.2217541748157061,1.0897139239654738,1.2219597720384803,1.2374131956435335
2006-08-01,1.2171790343156146,1.0914359886001297,1.2401564048642186,1.2386155899454119
2006-09-01,1.2284478938897143,1.1376026571001367,1.2780011393311907,1.24977144086472
2006-10-01,1.263155074593338,1.151489525329033,1.297415075285442,1.2605713534939507
2006-11-01,1.2465918294585465,1.13607368306773,1.3009909778306186,1.2261233729582661
2006-12-01,1.282030620467365,1.1545006674156262,1.3446918655733424,1.266502158082465
2007-01-01,1.2783787515636882,1.167260142876205,1.3427740237015253,1.257373425369753
2007-02-01,1.2718622676622062,1.1417755312183597,1.3339798680616999,1.2973337968326224
2007-03-01,1.3000055643600674,1.150954046445368,1.3741467745253464,1.2786060772957253
2007-04-01,1.329100984891732,1.1821004118957967,1.451679005350285,1.249204220953164
2007-05-01,1.3645974803753262,1.2322486813101146,1.4844489112143966,1.2713760340012175
2007-06-01,1.361804995970991,1.1922958093185665,1.4656167195690315,1.2578644917738127
2007-07-01,1.3107385966683907,1.1435538554910059,1.4081640018543755,1.2304888409390746
2007-08-01,1.2990307709111741,1.16576761246308,1.4064686362952576,1.2167958838415618
2007-09-01,1.3327240015580206,1.189027760440754,1.479357027233837,1.2247876362462138
2007-10-01,1.38523095185592,1.186620440980547,1.5125858089550217,1.1954518888379426
2007-11-01,1.3256469599015726,1.1482433171154445,1.5138356804942994,1.175212554438044
2007-12-01,1.3306878579480699,1.1795979500384444,1.5661864102972283,1.1865053100018605
2008-01-01,1.2117486310643795,1.1054014513360508,1.3734643555470263,1.1021449060126562
2008-02-01,1.2126760244089927,1.067627432703254,1.3781299407978251,1.1304062608782677
2008-03-01,1.1751330809449518,1.0631865401566118,1.3976120440265776,1.084895270932555
2008-04-01,1.2545158903697413,1.1117575310037793,1.4562593931300207,1.1505731679238516
2008-05-01,1.2475501359146468,1.1260883226895964,1.4353737640333513,1.1753014049691834
2008-06-01,1.1594271594354029,1.0239668608572732,1.2834613865408715,1.093368333740676
2008-07-01,1.115324453713798,1.0185343383864978,1.2825206497755473,1.0722725155591666
2008-08-01,1.1616343555955821,1.122937719193783,1.3129791137128042,1.131069233573286
2008-09-01,1.01033322273309,1.0429853924217358,1.1650879008283308,1.0213148892917947
2008-10-01,0.9021146629131279,0.9611235220287011,0.9943892683794097,0.9293688589040866
2008-11-01,0.8837048745855066,0.9285317350430906,0.9708116232123963,0.9929259522374889
2008-12-01,0.9138266104185429,0.9853164736159198,1.134545533343043,1.1478994318709648
2009-01-01,0.8551885596757008,0.907045192479223,0.9544634282027515,1.0496710581796835
2009-02-01,0.7893333278376691,0.8189258761334626,0.8473230001921598,0.9298710472705585
2009-03-01,0.8091280235599126,0.8881239554941467,0.9278291872020876,0.9824480298077014
2009-04-01,0.8745752023263146,0.9412994685066388,1.028336594325262,1.038337588500447
2009-05-01,0.9104818117556379,0.9053702845487822,1.0381671861883057,1.0583541293233378
2009-06-01,0.8757086830808418,0.8897392878317367,0.9910133500649333,1.0768388404542668
2009-07-01,0.9497249763514696,0.9415777376993617,1.0887037337220762,1.1217826665568995
2009-08-01,1.0116624865270354,0.9991712663583785,1.1824829832014976,1.187574743999373
2009-09-01,1.0580321537576947,1.0529369555676396,1.2718631989646259,1.2098047796161857
2009-10-01,1.0396182436818753,1.0046974007855942,1.1891825055343623,1.160967382090498
2009-11-01,1.069733796892614,1.0614182115748185,1.235779388178092,1.1276216795054903
2009-12-01,1.115526419375514,1.1003978667569625,1.272946122956263,1.20398389496051
2010-01-01,1.0692886480871997,1.0698419963451165,1.1651714900964036,1.2102857917593663
2010-02-01,1.1034991581329305,1.154735207453629,1.1804215270108604,1.2809123957667514
2010-03-01,1.1705022968441834,1.2278069597747574,1.2632855308851991,1.3397137548618478
2010-04-01,1.1444631526015443,1.238971189931996,1.1879701906922122,1.3231747945761216
2010-05-01,1.0692701002203073,1.194523828084958,1.0697445904067053,1.2629295323905882
