,iShares_World_Value,Vanguard_Global_Bond_Value,Cash_total,Total_Value,iShares_World_prop,Vanguard_Global_Bond_prop,Cash_prop
0,9484.778557866046,5472.2246249210275,1334.6182484153958,16291.62143120247,0.45,0.45,0.1
1,12646.37141048806,3648.149749947352,1334.6182484153958,17629.139408850806,0.6,0.3,0.1
2,14754.099978902728,2432.099833298236,1334.6182484153958,18520.81806061636,0.7,0.2,0.1
3,16861.828547317415,1216.049916649118,1334.6182484153958,19412.496712381926,0.8,0.1,0.1
